Event,Description,Event Start Year,Default Value ,Appointments,Domestic,Elections,Foreign Policy,Economic,Justice,Military,Misc
The Bill of Rights,"Presided during the creation of the first 10 Amendments, the Bill of Rights. These well-known amendments deal with free speech, the right to bear arms, restrictions on quartering troops, requirement for warrants in searches and seizures, rights to due process and a jury, against excessive fines and cruel punishments, etc. Future Pres. Madison was the key mover of this project. ",1791,100,,X,,,,X,,
Thanksgiving Holiday,The Thanksgiving Holiday was created in 1789,1789,1,,X,,,,,,
Citizen Genet,"In 1793, Washington demanded France recall Citizen Genet as French Ambassador to the US, when it was found Genet was defying US neutrality in the French Rev by trying to personally garner support for France among citizens of the US, predominately in areas of high Jeffersonian support. ",1793,3,,X,,X,,,,
Democratic-Republican Societies,"Washington used his influence to discourage these societies, which disappated by 1796. These societies, partially modeled on the Sons of Liberty from the Rev War period and the then contemporary Jacobin Socities of France. These societies were pro-French, anti-British clubs, strongly aligned with Jeffersonianism and critical of the Washington administration.",1793,3,,,,,,,,X
Pinckney's Treaty,"In 1794, Thomas Pinckney negotiated a treaty with Spain. The border between the US and Spanish West Florida was hashed out, the US gained navigation rights in the Mississippi River, rights to store goods in New Orleans (then Spanish), and a few other minor details. ",1794,10,,,,X,X,,,
Tribute to the Barbary Pirates,"Washington paid 1/5th of the US annual budget to tribute to the Barbary Pirates to bribe them from attacking US shipping and taking hostages. Despite this, attacks and hostages still occurred from time to time. This situation resulted in the creation of the US Navy, but the navy was not ready by the time Washington's 2nd term expires. As such, Washington continued to pay tribute to pirates. ",1789,10,,,,x,x,,x,
Naval Act of 1794,"Washington signed the Naval Act of 1794. This allowed for the construction of 6 frigates, which would compose the US Navy. The prime mover was the fact that nation wished to end tribute payments to the Barbary Pirates",1794,75,,,,,,,X,
The First Cabinet Meeting,"Washington held the first cabinet meeting in 1791. Prior to that, he met with department heads invididually. At some point it began to make sense to have everyone there at once.",1791,1,,,,,,,,X
Powerless VP,"Washington set the longtime precedence of rending the VP powerless in the executive branch, rarely meeting with VP Adams. Considering as VP, Adams presided over the Senate, Washington likely sought a strict seperation between the executive and legislative branches.",1789,1,,,,,,,,X
Mr. President,"Washington declined the ostentation title for the presidenecy that VP Adams and others suggested, such as ""His Highness"" for the common, ""Mr. President.""",1789,1,,,,,,,,X
Judiciary Act of 1789,"Signs a bill creating the judicial branch and judicial system, including the US Supreme Court. ",1789,100,,,,,,X,,
Only president to appoint an entire Supreme Court,"Only president to appoint an entire Supreme Court. You know, because one didn't exist yet.",1789,1,,,,,,X,,
